Ranking,Name,Price,Body Location,Category,Company Name,Company URL,Company Location,Company City,Company US State,Company Country
87,"Archos Activity Tracker 502590E",66.99,"Wrist","Fitness","Archos","http://www.archos.com/us/","Igny, France","Igny","Non-US","France"
26,"Autographer Wearable Camera - Classic Black",-99.99,"Head","Entertainment","Autographer","http://autographer.com","London, United Kingdom","London","Non-US","United Kingdom"
548,"Barska GB12166 Fitness Watch with Heart Rate Monitor",49.99,"Wrist","Fitness","Barska","http://www.barska.com/","Pomona, California, United States","Pomona","California","United States"
212,"Basis Peak - Ultimate Fitness and Sleep Tracker (Brushed Metal/White)",-99.99,"Wrist","Lifestyle","Basis Peak","http://www.mybasis.com/","San Francisco, California, United States","San Francisco","California","United States"
335,"Basis Peak - Ultimate Fitness and Sleep Tracker (Matte Black/Black)",-99.99,"Wrist","Lifestyle","Basis Peak","http://www.mybasis.com/","San Francisco, California, United States","San Francisco","California","United States"
219,"Belkin GS5 Sport Fit Armband, Black F8M918B1C00",24.99,"Arms","Fitness","Belkin","http://www.belkin.com/","Playa Vista, California, United States","Playa Vista","California","United States"
275,"Bowflex EZ Pro Strapless Heart Rate Monitor Watch, Black",12.99,"Wrist","Medical","Bowflex","http://www.bowflex.com/","Vancouver, Washington, United States","Vancouver","Washington","United States"
51,"Bowflex EZ Pro Heart Rate Monitor Watch, Khaki",12.99,"Wrist","Fitness","Bowflex","http://www.bowflex.com/","Vancouver, Washington, United States","Vancouver","Washington","United States"
4,"Bowflex EZ Pro Heart Rate Monitor Watch w/ Quick Touch Technology ...",12.99,"Wrist","Fitness","Bowflex","http://www.bowflex.com/","Vancouver, Washington, United States","Vancouver","Washington","United States"
301,"iPhone 5 becomes wearable camera: iMountZ 2",-99.99,"Head","Entertainment","Bullethd","http://www.bullethd.us/","Hong Kong, China","Hong Kong","Non-US","China"
545,"Bushnell 150l Rubicon Headlamp",34.99,"Head","Unknown","Bushnell","http://www.bushnell.com/","Overland Park, Kansas, United States","Overland Park","Kansas","United States"
491,"Casio G Shock Watch Solar Atom (gwm500a-1)",67.62,"Wrist","Lifestyle","Casio","http://www.casio.com","Tokyo, Japan","Tokyo","Non-US","Japan"
157,"Men's casio sports running gear pedometer watch sgw200-1v",55.99,"Wrist","Lifestyle","Casio","http://www.casio.com","Tokyo, Japan","Tokyo","Non-US","Japan"
124,"Men's Casio Hunting Twin-Sensor Watch - multicolor (one size)",58.99,"Wrist","Lifestyle","Casio","http://www.casio.com","Tokyo, Japan","Tokyo","Non-US","Japan"
223,"Casio Wrist Watch - Men - Sports - Anadigi - Quartz ...",59.96,"Wrist","Lifestyle","Casio","http://www.casio.com","Tokyo, Japan","Tokyo","Non-US","Japan"
38,"Casio Watches WV200A-1A Wave Ceptor Atomic Sports Watch",39.99,"Wrist","Lifestyle","Casio","http://www.casio.com","Tokyo, Japan","Tokyo","Non-US","Japan"
236,"Casio Unisex STB-1000-1CF ''OmniSync Sports'' Bluetooth-Enabled SmartWatch",-99.99,"Wrist","Lifestyle","Casio","http://www.casio.com","Tokyo, Japan","Tokyo","Non-US","Japan"
309,"Casio Tough Solar Ana Digi Watch",36.31,"Wrist","Lifestyle","Casio","http://www.casio.com","Tokyo, Japan","Tokyo","Non-US","Japan"
162,"Casio Shock G100-1bv Black Rubber Strap Digital Analog 20 Bar 200m",99.99,"Wrist","Lifestyle","Casio","http://www.casio.com","Tokyo, Japan","Tokyo","Non-US","Japan"
42,"Casio Mens W-S220C-4AVCF Tough Solar Runner Digital Display Quartz Re",33.49,"Wrist","Lifestyle","Casio","http://www.casio.com","Tokyo, Japan","Tokyo","Non-US","Japan"
300,"Casio Mens Solar Digital Analog Sport Watch",49.99,"Wrist","Lifestyle","Casio","http://www.casio.com","Tokyo, Japan","Tokyo","Non-US","Japan"
57,"Casio Mens G-Shock Illuminator Black 200 Meters Alarm DW6900-1",29.99,"Wrist","Lifestyle","Casio","http://www.casio.com","Tokyo, Japan","Tokyo","Non-US","Japan"
435,"Casio Mens EFA119BK-1AV Ana-Digi Edifice Stainless Steel Watch",79.99,"Wrist","Lifestyle","Casio","http://www.casio.com","Tokyo, Japan","Tokyo","Non-US","Japan"
578,"Casio Men's Black Analog Anti Reverse Bezel Watch Black - C195470",38.38,"Wrist","Lifestyle","Casio","http://www.casio.com","Tokyo, Japan","Tokyo","Non-US","Japan"
398,"Casio LA-11WB-1 Women's Digital Daily Alarm Classic Water Resistant Wrist Watch, Black",9.91,"Wrist","Lifestyle","Casio","http://www.casio.com","Tokyo, Japan","Tokyo","Non-US","Japan"
381,"Casio G-SHOCK Multi-Function Chronograph Alarm Sport Watch #DW-9052-1V",41.31,"Wrist","Lifestyle","Casio","http://www.casio.com","Tokyo, Japan","Tokyo","Non-US","Japan"
337,"CASIO Casio SGW300H-1AV Wrist Watch - Men Sports Chronograph Digital Quartz",41.99,"Wrist","Lifestyle","Casio","http://www.casio.com","Tokyo, Japan","Tokyo","Non-US","Japan"
231,"Casio Casio AMW-360B-1A1V Mens Analog Digital Silicone Strap Sports Watch",52.99,"Wrist","Lifestyle","Casio","http://www.casio.com","Tokyo, Japan","Tokyo","Non-US","Japan"
110,"Casio AQW100-1AV Mens Digital/Analog Forester Active Dial Sports Wrist Watch W/Resin Band; Black",37.33,"Wrist","Lifestyle","Casio","http://www.casio.com","Tokyo, Japan","Tokyo","Non-US","Japan"
372,"Casio AQS810W Solar Analog/Digital Wrist Watch; Navy/White",43.16,"Wrist","Lifestyle","Casio","http://www.casio.com","Tokyo, Japan","Tokyo","Non-US","Japan"
252,"Casio A168W-1 Mens Classic Digital Electro Luminescence Bracelet Wrist Watch; Silver",13.99,"Wrist","Lifestyle","Casio","http://www.casio.com","Tokyo, Japan","Tokyo","Non-US","Japan"
194,"Casio WS220 Solar Runner Digital Wrist Watch; Navy Blue",39.99,"Wrist","Lifestyle","Casio","http://www.casio.com","Tokyo, Japan","Tokyo","Non-US","Japan"
