Ranking,Name,Price,Body Location,Category,Company Name,Company URL,Company Location,Company City,Company US State,Company Country
1,"Cogito Classic - Green Velvet",179.95,"Wrist","Lifestyle","Cogito","http://cogitowatch.com/","Hong Kong, China","Hong Kong","Non-US","China"
2,"Misfit Wearables Fitness Assessment Leather Band, Black",37.99,"Wrist","Fitness","Misfit","http://misfit.com/","Burlingame, California, United States","Burlingame","California","United States"
3,"Mimo Smart Baby Monitor Refill Kit, Natural, 6-12 Months",-99.99,"Torso","Lifestyle","Mimo","http://mimobaby.com/","Boston, Massachusetts, United States","Boston","Massachusetts","United States"
4,"Bowflex EZ Pro Heart Rate Monitor Watch w/ Quick Touch Technology ...",12.99,"Wrist","Fitness","Bowflex","http://www.bowflex.com/","Vancouver, Washington, United States","Vancouver","Washington","United States"
5,"TomTom Multi-Sport Cardio + Cycle GPS Watch with HRM 15167948",269.99,"Wrist","Fitness","Tomtom","http://www.tomtom.com/","Amsterdam, Netherlands","Amsterdam","Non-US","Netherlands"
6,"Pebble Steel Smart Watch for iPhone and Android Devices (Black Matte)",-99.99,"Wrist","Lifestyle","Pebble","http://www.getpebble.com","Palo Alto, California, United States","Palo Alto","California","United States"
7,"Garmin VIRB Elite 1080p HD Action Camera with Wi-Fi and GPS",249.99,"Head","Entertainment","Garmin","http://www.garmin.com/","Olathe, Kansas, United States","Olathe","Kansas","United States"
8,"Jawbone UP Wristband - Small - Retail Packaging - Light Grey",59.99,"Wrist","Lifestyle","Jawbone","https://www.jawbone.com/","San Francisco, California, United States","San Francisco","California","United States"
9,"Mota G2 Pro Bluetooth Smartwatch for iPhone and Android - Silver",79.95,"Wrist","Entertainment","Mota","https://www.mota.com/","San Jose, California, United States","San Jose","California","United States"
10,"MIDLAND XTC285VP Action camera - 1080p - Mossy oak camouflage",121.99,"Head","Entertainment","Midland","https://midlandusa.com","Kansas City, Missouri, United States","Kansas City","Missouri","United States"
11,"Contour ROAM3 Waterproof HD Video Camera (Black)",-99.99,"Head","Entertainment","Contour","http://contour.com","Provo, Utah, United States","Provo","Utah","United States"
12,"Sportline SOLO 925 (Womens) - Activity tracker - monochrome - pink",59.99,"Wrist","Fitness","Sportline","http://www.sportline.com/","Elmsford, New York, United States","Elmsford","New York","United States"
13,"Sony HDR-AS15 Action Video Camera (Black)",-99.99,"Head","Entertainment","Sony","http://www.sony.com/","Tokyo, Japan","Tokyo","Non-US","Japan"
14,"MeGooDo SJCAM Original SJ4000 WiFi Action Camera 12MP 1080P H.264 1.5 Inch 170A Wide Angle Lens Waterproof Diving...",-99.99,"Head","Entertainment","Sjcam","http://www.sjcam.com/","Shenzhen, China","Shenzhen","Non-US","China"
15,"Polar 2013 H2 Heart Rate Sensor",-99.99,"Chest","Medical","Polar","http://www.polar.com/","Lake Success, New York, United States","Lake Success","New York","United States"
16,"Pebble Smartwatch for iPhone and Android (Black)",-99.99,"Wrist","Lifestyle","Pebble","http://www.getpebble.com","Palo Alto, California, United States","Palo Alto","California","United States"
17,"Polar Wearlink Transmitter Nike + Heart Rate Sensor",45.45,"Chest","Fitness","Polar","http://www.polar.com/","Lake Success, New York, United States","Lake Success","New York","United States"
18,"Pyle PPDE60 Pedometer with Personalized Calibration for Walking & Runn",21.32,"Waist","Fitness","Pyle","http://www.pyleaudio.com/","Brooklyn, New York, United States","Brooklyn","New York","United States"
19,"Garmin Forerunner 310XT Waterproof Running GPS With USB ANT Stick and Heart Rate Monitor",-99.99,"Wrist","Fitness","Garmin","http://www.garmin.com/","Olathe, Kansas, United States","Olathe","Kansas","United States"
20,"HeartMath Inner Balance-Lightning Sensor for Iphone5 and Ipad Air",-99.99,"Head","Medical","Heartmath","http://www.heartmath.com/","Boulder Creek, California, United States","Boulder Creek","California","United States"
